,pipeline,group,precision,recall,f1,accuracy
0,mutect_yb_bwa,g10,0.6175869120654397,0.26012058570198104,0.3660606060606061,0.22403560830860533
1,mutect_yb_bwa,g1,0.8621673003802282,0.781223083548665,0.8197017623136015,0.6944869831546707
2,mutect_yb_bwa,g4,0.28117001828153565,0.6623600344530577,0.39476386036960986,0.24592260952990086
3,mutect_yb_bwa,g11,0.7013888888888888,0.08699397071490095,0.15478927203065132,0.08388704318936877
4,mutect_yb_bwa,g5,0.8484486873508353,0.6124031007751938,0.7113556778389194,0.5520186335403726
5,mutect_yb_bwa,g3,0.63572267920094,0.46597760551248923,0.5377733598409543,0.36777702243371857
6,mutect_yb_bwa,g6,0.8250377073906485,0.47114556416882,0.5997807017543859,0.4283476898981989
7,mutect_yb_bwa,g2,0.8649425287356322,0.7777777777777778,0.819047619047619,0.6935483870967742
8,mutect_yb_bwa,g7,0.8628571428571429,0.7803617571059431,0.819538670284939,0.6942528735632184
9,mutect_yb_bwa,g9,0.8105590062111802,0.2248062015503876,0.3519892110586649,0.21358428805237317
10,mutect_yb_bwa,g8,0.8250377073906485,0.47114556416882,0.5997807017543859,0.4283476898981989
11,mutect_yb_bowtie,g6,0.8721174004192872,0.35831180017226527,0.5079365079365079,0.3404255319148936
12,mutect_yb_bowtie,g3,0.7016348773841962,0.4435831180017227,0.5435356200527705,0.37318840579710144
13,mutect_yb_bowtie,g9,0.8765432098765432,0.2446167097329888,0.38249158249158244,0.23646960865945046
14,mutect_yb_bowtie,g8,0.8721174004192872,0.35831180017226527,0.5079365079365079,0.3404255319148936
15,mutect_yb_bowtie,g7,0.8725099601593626,0.7545219638242894,0.8092378752886835,0.6795965865011637
16,mutect_yb_bowtie,g2,0.9132653061224489,0.4625322997416021,0.6140651801029159,0.4430693069306931
17,mutect_yb_bowtie,g1,0.8775510204081632,0.48148148148148145,0.6218020022246941,0.45117029862792574
18,mutect_yb_bowtie,g4,0.3222849083215797,0.7872523686477175,0.4573430072554416,0.2964644826467726
19,mutect_yb_bowtie,g11,0.7154471544715447,0.1515934539190353,0.2501776830135039,0.1429731925264013
20,mutect_yb_bowtie,g10,0.22021857923497268,0.347114556416882,0.26947509194249414,0.15571870170015456
21,mutect_yb_bowtie,g5,0.9179978700745474,0.7424633936261843,0.820952380952381,0.6962843295638126
22,mutect_nb_bwa,g9,0.850909090909091,0.20155038759689922,0.32590529247910865,0.194675540765391
23,mutect_nb_bwa,g8,0.7973154362416107,0.5116279069767442,0.6232948583420778,0.4527439024390244
24,mutect_nb_bwa,g4,0.22739458932488424,0.8036175710594315,0.354483282674772,0.21542368967905795
25,mutect_nb_bwa,g1,0.7775377969762419,0.6201550387596899,0.6899856252994729,0.5267008046817849
